Time,X,Y,Z
166.8,0,15.98456091,1.849476799
166.9,0,15.86559152,1.82168229
167,0,15.7465738,1.794095465
167.1,0,15.62750812,1.766716407
167.2,0,15.50839483,1.739545199
167.3,0,15.3892343,1.712581924
167.4,0,15.2700269,1.685826664
167.5,0,15.15077298,1.659279502
167.6,0,15.0314729,1.632940517
167.7,0,14.91212704,1.60680979
167.8,0,14.79273575,1.5808874
167.9,0,14.6732994,1.555173427
168,0,14.55381836,1.529667949
168.1,0,14.43429298,1.504371043
168.2,0,14.31472363,1.479282787
168.3,0,14.19511067,1.454403256
168.4,0,14.07545448,1.429732528
168.5,0,13.95575541,1.405270677
168.6,0,13.83601383,1.381017776
168.7,0,13.7162301,1.356973902
168.8,0,13.59640459,1.333139126
168.9,0,13.47653766,1.309513521
169,0,13.35662968,1.286097159
169.1,0,13.23668101,1.262890111
169.2,0,13.11669202,1.239892449
169.3,0,12.99666308,1.217104242
169.4,0,12.87659454,1.19452556
169.5,0,12.75648678,1.172156471
169.6,0,12.63634017,1.149997043
169.7,0,12.51615506,1.128047345
169.8,0,12.39593182,1.106307442
169.9,0,12.27567083,1.084777402
170,0,12.15537244,1.063457289
170.1,0,12.03503702,1.042347169
170.2,0,11.91466494,1.021447106
170.3,0,11.79425657,1.000757164
170.4,0,11.67381227,0.980277405
170.5,0,11.55333241,0.960007892
170.6,0,11.43281736,0.939948688
170.7,0,11.31226748,0.920099852
170.8,0,11.19168314,0.900461445
170.9,0,11.07106471,0.881033527
171,0,10.95041255,0.861816158
171.1,0,10.82972704,0.842809396
171.2,0,10.70900854,0.824013299
171.3,0,10.58825742,0.805427923
171.4,0,10.46747404,0.787053327
171.5,0,10.34665878,0.768889565
171.6,0,10.225812,0.750936693
171.7,0,10.10493407,0.733194765
171.8,0,9.984025359,0.715663836
171.9,0,9.863086236,0.69834396
172,0,9.742117067,0.681235188
172.1,0,9.621118223,0.664337573
172.2,0,9.50009007,0.647651167
172.3,0,9.379032979,0.63117602
172.4,0,9.257947318,0.614912182
172.5,0,9.136833455,0.598859704
172.6,0,9.01569176,0.583018633
172.7,0,8.894522602,0.567389019
172.8,0,8.77332635,0.551970908
172.9,0,8.652103372,0.536764348
173,0,8.530854038,0.521769385
173.1,0,8.409578718,0.506986065
173.2,0,8.288277781,0.492414433
173.3,0,8.166951597,0.478054532
173.4,0,8.045600535,0.463906408
173.5,0,7.924224964,0.449970103
173.6,0,7.802825254,0.436245659
173.7,0,7.681401776,0.422733118
173.8,0,7.559954899,0.409432522
173.9,0,7.438484994,0.396343911
174,0,7.316992429,0.383467324
